,id,name,collection,centroid_mean,centroid_std,spread_mean,spread_std,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std,flux_mean,flux_std,roughness_mean,roughness_std,sharpness_mean,sharpness_std,loudness_mean,loudness_std
529,414,EAn153-B1,coam,1651.8114028595817,965.743242068849,1621.6209645275296,779.7460627069712,4.52399125184931,1.6744550271249246,37.368127973623764,22.797443627365624,1.3672381178922217,0.7548431255028633,0.002015445722559997,0.0022316023370704038,0.4570253295869613,0.12638372019049932,68.32227760843699,0.3825948286488306
530,506,EAn214-A1,coam,1079.8882909140273,425.5055468072486,1132.2154580152817,599.1702974997618,6.334086780950822,2.0506358548673935,71.84959002091585,40.960917910763804,1.1676461196472938,0.7651198956587271,0.0014325279358390409,0.0013810581597913556,0.31376024071609077,0.0997723502092341,68.19044865164987,0.3232303276411844
531,443,EAn172-B1,coam,1985.8707047045082,1239.0433433095952,2151.055062867566,1076.4956538768652,4.28217063378551,2.3444691938900872,33.30621490253148,34.47731893067763,0.7808724339042575,0.541789160753241,0.0007338390177809304,0.0011152332788277545,0.32364586410730334,0.09254313787195027,67.93371861297071,0.3178148046725678
532,507,EAn214-B1,coam,979.66178483816,235.97166726075514,1049.891119912363,368.3459980840841,6.88301940569039,1.9723753758989715,78.95411517053205,39.56517329013953,0.8665296436890745,0.543514760054876,0.00070932682967097,0.0005380525869447613,0.23567479556505053,0.06747253503290293,68.05166867308274,0.22276497719121938
533,442,EAn172-A1,coam,1642.6618755182064,814.2397945113469,1620.1037216472557,915.8816036093358,4.561591934280648,2.1021614934948114,40.291523833927485,31.689273747014045,0.1756077630330988,0.10268878414139432,3.495955245339248e-05,4.2180178913372046e-05,0.06215608307795944,0.014153986651668234,66.7682651177713,0.3344691624625112
534,415,EAn154-A1,coam,1349.68055135523,526.1436370786662,1318.728136705672,540.0018442253662,5.5401543202765104,2.5095533912602206,58.45863384839429,47.842744207319896,0.5359070302688689,0.33674137376299285,0.0003566711239634291,0.0004316851697611482,0.17133219634708147,0.04812587933468856,67.72776297355519,0.2601807165756595
535,511,EAn216-B1,coam,1109.7095376368145,552.6396954021914,1209.266293255895,734.4123850061461,6.66027125131507,2.336329288744186,76.30243966871161,45.278895686238776,0.5789836469920204,0.3990493604845112,0.00031842597330126375,0.00029633652272177273,0.16602425281837246,0.060102315440767475,67.72042336352828,0.34056693172257585
536,454,EAn184-A1,coam,1244.9278141917716,384.51033061877155,1236.133286052604,263.19048518827003,5.916412944786151,2.3508956750486556,56.630347409749106,34.95738493212148,1.718692201003243,1.4797730377606724,0.002969982335704358,0.0037615819140801084,0.5328011945621313,0.26340027263858495,68.46583424076094,0.2828308505802762
537,478,EAn197-A1,coam,1033.304078187395,348.5285160260075,1135.757129315314,404.4784816347955,6.54125518526601,1.5818873100828683,68.65580143349983,29.392356269032856,0.8511690936531887,0.49042553919616777,0.000840535811467882,0.0006459103690666522,0.260315213659709,0.05691628879925674,68.1711042936818,0.25523571150640084
538,497,EAn208-B1,coam,1268.931057495952,679.6850126174381,1513.4124315712427,857.5293417311264,6.031405568286566,2.1478095472865144,58.91172451843132,38.333930397518294,0.6480062869922495,0.3916555895819182,0.00040243332791552535,0.0003911937167822884,0.2265574072073218,0.06938195804897239,67.85093890336205,0.3157105410986632
539,481,EAn198-B1,coam,1183.5094459527334,375.2300881703435,1422.3842662617621,590.7596759528042,5.414901243203935,1.6542926724116627,47.72897101882796,26.4505033912986,0.5737107102917585,0.3038108974338624,0.0003218117685559281,0.00024116874416199764,0.19623513829632097,0.056353249322457215,67.85486498999765,0.2438082757227322
540,439,EAn170-A1,coam,2333.497153103582,2259.1149999342883,2236.224843420334,1213.77741059523,3.2923429597056684,2.2294014736272985,23.55535333412075,21.940351996379924,1.1420437153475176,1.0130763341023221,0.0013288700805505855,0.001890818608675278,0.3969705576254405,0.159457175044824,68.15148347051435,0.6115053428710271
541,419,EAn156-A1,coam,1315.0904538637824,465.9016121596992,1238.9501483003219,604.0065253103855,5.877758728526331,2.3225580262577115,66.73638615151822,53.5786339701076,1.0553345582576938,0.6635282348579078,0.001608436746005021,0.002060817777340061,0.30508418469049536,0.0719843238590489,68.12828298468548,0.2243075646170973
542,458,EAn186-A1,coam,927.5617043839584,166.95815425914643,860.7330232391311,279.6126294295012,7.966206521892084,1.458931416799904,106.33790069727057,37.35343276286785,1.3793281387637064,0.5666148092171729,0.0023446477867520217,0.0017103966689236952,0.3740339929232166,0.08332624302695103,68.40090845573295,0.24245021746970216
543,423,EAn159-A1,coam,1330.1677148096853,575.7145341599264,1432.2879135348942,555.2813035943506,4.7112519471119,1.668316617569817,40.193294808567,24.181376028018846,1.2803604924529632,0.6899331374338052,0.0016287565384601414,0.0016650348142988704,0.4311491899114938,0.08954032387531947,68.37875423688234,0.25808822117922714
544,474,EAn194-A1,coam,1533.8891075437805,1749.0602988874816,1654.0171612537342,1079.2871496067235,6.631826141063812,3.3420278057205697,71.80302068429376,64.60669911918616,0.19109691539155352,0.0951914796599487,3.6892217699861615e-05,4.8837636317029274e-05,0.0791973732529369,0.014136963402877258,66.857617943416,0.3813318462545727
545,462,EAn188-A1,coam,1427.2337601201298,473.59721698540335,1386.6401985016348,513.0896549271025,4.816996905024114,2.459560074031395,43.89682536764361,36.69188034784843,1.0828649157931867,0.7479125457939687,0.0009522279070065567,0.001057521601553016,0.3190252381885778,0.11938306566603606,68.11929229964946,0.3043914243905222
546,435,EAn164-B1,coam,1613.7975030852067,848.0263221503681,1474.184402918732,630.0630025495796,3.9670478026969467,1.3607350102645601,31.4553587522313,18.08969501859049,1.1154385813346765,0.6364548255471175,0.0011967249831790158,0.001092517916590102,0.352477249150195,0.10013208013386127,68.19859859490259,0.4005158909944976
547,469,EAn191-B1,coam,1539.7718353744974,498.562013016614,1302.7617952721203,288.5199218151666,4.174326673425084,2.527415669984963,38.83262304364756,33.90604063375116,1.9420154718813176,1.3609267469630768,0.0031829909245973233,0.0031954745509300865,0.5421240453193794,0.23323104753442714,68.49717273370317,0.22566273424725541
548,486,EAn201-A1,coam,1722.488709185833,1288.8581531551622,2006.6056038834859,944.3490137145538,4.103525442143769,1.749797896764827,28.463866685076848,18.776652114598278,0.5184658658457549,0.4805939039677411,0.00024250733989075211,0.0004950653669078474,0.20184001852123906,0.07568181991598195,67.55301867321707,0.31403728975423684
